# AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
8.900667978942559480e-06,8.179578670939197251e-06,9.262975382619970449e-06,5.725258937972073292e-06,2.614202173495079875e-05,1.802006466926070331e-05,2.144462961776150191e-05,2.787208795300221177e-05,1.966865562371252147e-05,2.077032956740672680e-05,2.035610552071412112e-05,1.624824577706568917e-05,1.131794700541695602e-05,0.000000000000000000e+00
-2.455456557564651959e-06,-2.114566242465854345e-06,-1.194905084306099289e-06,2.834034694438084336e-06,2.211931593957427948e-05,1.631870723735409114e-05,1.214602935225452070e-05,1.796648351415274119e-05,1.559065314717328902e-06,1.265315478141450617e-05,5.700214676127261143e-06,2.729088688487069667e-06,5.413120561532036050e-07,0.000000000000000000e+00
-7.520608903639268729e-06,-3.624566567482645221e-08,1.360882516212707194e-06,6.533459807736321289e-06,1.986849458915084405e-05,1.376449544060426364e-05,8.422915120164796261e-06,1.014941962005035547e-05,-2.578475999084456633e-06,3.195778008697640284e-06,-3.325283570611122481e-06,-4.336785790798808019e-06,-4.610340865186537874e-06,0.000000000000000000e+00
-1.872713870450896180e-06,7.662934007782105488e-06,4.324896316472110395e-06,1.291214704966811280e-05,2.974588536964981473e-05,2.251785614099337032e-05,1.248588599679560512e-05,8.569626131074998946e-06,-2.564208615243760374e-06,3.878087319752801838e-06,-1.985409100480658222e-06,-6.945973385214006669e-06,-2.472725545128554058e-06,0.000000000000000000e+00
-5.425089745937277866e-06,-5.540645212481845328e-07,-8.620248067444880388e-06,6.359620375371936366e-06,2.182248432135500935e-05,1.978234027008469320e-05,5.388533211261155966e-07,-3.440269535362782559e-06,-1.042696384985122313e-05,-1.579030688944840245e-06,-8.480393820096130799e-06,-1.515762154726482047e-05,-6.163165708400088640e-06,0.000000000000000000e+00
-1.520221705195696345e-05,-9.243088401617451683e-06,-1.526267151750973036e-05,-4.731030428015566716e-06,-5.728224586861975128e-06,-3.927154955366773907e-08,-1.794353077592126242e-05,-1.984145557793545535e-05,-2.059818178988326510e-05,-1.413596367589837363e-05,-1.488940596475165719e-05,-1.770360521858548641e-05,-1.219582151522087188e-05,0.000000000000000000e+00
-9.443954085603106847e-06,-1.554476459906916218e-06,-2.205264928664076078e-06,-3.010934991989014968e-06,-1.051759364156556815e-05,-5.401520846875710408e-06,-1.349018402380407333e-05,-1.341045177386129533e-05,-1.514518768596932711e-05,-1.044633877317463806e-05,-6.397586532387273007e-06,-1.466171384298466286e-05,-7.166318040741585506e-06,0.000000000000000000e+00
-3.943216296635377657e-06,3.041312657358667278e-06,4.606280804150449657e-06,-1.887078310826278302e-06,-4.850477102311734942e-06,-6.324984802014132888e-07,-2.267260325017166660e-06,1.414090916304265054e-06,-1.282997546349276821e-06,-1.943923739986267763e-06,-3.234444623483633457e-06,-1.826595807278553376e-05,-4.537051197070264811e-06,0.000000000000000000e+00
-5.255858915083535325e-06,2.089042607766846354e-06,-3.653311284046724972e-07,-4.679183579766538415e-06,-1.514853109636071664e-05,-6.418274094758520830e-06,1.775642755779351916e-07,6.906354023041122855e-06,2.239619523918519461e-06,-1.333507855344473512e-06,-3.260398608377201750e-06,-1.102019550469214679e-05,-2.481886753643088614e-06,0.000000000000000000e+00
2.210899656672015930e-06,6.592070524147405936e-06,8.433100129701651104e-07,4.429800457770633849e-07,-2.089577396200502894e-05,-1.409831467612725533e-05,5.710185506981001926e-06,1.289948884412909088e-05,-1.999220215152206332e-06,4.580743826962688927e-06,6.370151911192493484e-06,-1.437508395513845828e-06,4.636372262149999110e-06,0.000000000000000000e+00
1.014414669260701385e-05,1.034126690928511946e-05,1.074425330739299101e-05,4.891134644083311992e-06,-1.058861470359349165e-05,-8.949278970016016300e-06,1.178014764934767614e-05,1.953682659342336156e-05,-8.792305836575850979e-07,1.496188330510413906e-05,1.110188778210116909e-05,-5.866644852368961987e-06,9.868949192034793790e-06,0.000000000000000000e+00
9.461337079423218194e-06,8.621075019455256961e-06,1.445911172503241876e-05,2.812685992217896461e-06,-2.554129430075524487e-06,-3.960779674982774751e-07,1.113411384756237121e-05,1.824212046387426380e-05,2.947281762417031005e-06,1.367051458915083127e-05,9.895027484550242221e-06,-4.053178443579765516e-06,1.385102115968566748e-05,0.000000000000000000e+00
7.558593911650272674e-06,7.817927406729231662e-06,7.560088949416337321e-06,2.658670354772256757e-06,-2.481287315175089870e-06,1.311081194781420294e-06,1.160562666971847068e-05,1.270103024032959453e-05,-4.383684229800843735e-07,3.589157134355685671e-06,9.531671696040286128e-06,1.829648244449532784e-06,1.295780332951858105e-05,0.000000000000000000e+00
1.112127079423209918e-05,9.655538538185705157e-06,2.929637483787285356e-06,6.231528162050809965e-06,5.074261052872518072e-06,4.636923131151298476e-06,1.503634171663996267e-05,1.028960069733730124e-05,-2.486122178988301198e-07,2.427216067750039601e-07,7.849529050125887843e-06,-4.032110469214922407e-06,1.082934921797513052e-05,0.000000000000000000e+00
5.449830601968422344e-06,5.246446015106435641e-06,3.350985239948115430e-06,2.952977463950558609e-06,6.598482307164118451e-06,3.312678173495084806e-06,7.831993206683450409e-06,1.736979914549477723e-06,4.590500205996814770e-07,-3.718199244678416262e-06,-1.839417935454336260e-06,-1.618509045090409600e-05,7.273273446250097402e-06,0.000000000000000000e+00
