# AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
3.653860811779969226e-06,3.517217418173495055e-06,1.143990794232086429e-06,-2.576602993820096222e-06,3.684918818951707947e-06,-7.011677114518962605e-06,-6.174616304264902769e-06,-2.178460064087889363e-06,1.009324916456855670e-06,3.019600396734569862e-06,-1.251509018081932755e-06,-9.225775448233768092e-06,1.362735518425274047e-06,1.000000000000000000e+00
3.921496881055928392e-06,6.968686175326162122e-06,-9.978411581597652490e-07,-3.172307804989700226e-07,1.274782397802701072e-05,-4.294887766842148997e-06,7.070976958876861631e-07,4.968736368352791091e-06,5.420768603036545635e-06,4.040333379110399042e-06,1.938575005722214991e-07,-8.754056557564659721e-06,2.407302539101248616e-06,0.000000000000000000e+00
1.661907789730721093e-07,3.072027969787136817e-06,-2.940873238727400756e-06,-9.473422751201643078e-08,1.339517434653238900e-05,1.925316243228425305e-08,6.969889242389553531e-06,4.898254154268714954e-06,4.081449411764706629e-06,1.561756374456397822e-06,-2.319293833829243501e-06,-1.146680303959715883e-05,-6.945438742656546206e-07,0.000000000000000000e+00
-6.233071648737310997e-06,-3.177631544975967398e-06,-6.103921199359123806e-06,7.184103913939116938e-07,1.149185360494392492e-05,2.295443286793312187e-06,9.917367490653840540e-06,4.536845354390786596e-06,-1.719415735103379538e-06,1.072579476615549422e-06,-9.057570890363919627e-06,-1.603449334401464685e-05,-7.231383234912637215e-06,0.000000000000000000e+00
-1.267433973754481961e-05,-3.151620476081482644e-06,-1.379321624170290888e-05,-3.406950954451819991e-06,1.420851198901350400e-05,8.100354818036124881e-07,8.222127695124734710e-06,5.690054346532390002e-06,-6.844511253528648848e-06,-5.291563530937666244e-06,-1.787322398260471058e-05,-2.408709766842145116e-05,-1.466811642023346014e-05,0.000000000000000000e+00
-1.527869072556648723e-05,-2.986550231174182065e-06,-1.783548030212863685e-05,-9.980921272602426452e-06,1.231810136873426464e-05,-2.387538034637983223e-06,2.720594773784992695e-06,-4.061984763866633422e-06,-1.388326904707408296e-05,-1.452538289463645365e-05,-2.286298648661020232e-05,-2.942840695353627549e-05,-1.734656146181429674e-05,0.000000000000000000e+00
-1.529189250476844098e-05,-7.348406399633783769e-06,-1.693969754634928334e-05,-1.129984413824673776e-05,9.972147896543833150e-06,-3.476837091630429979e-06,3.104755550469140124e-07,-1.295474071107041958e-05,-2.447562192111085811e-05,-2.093311592278934694e-05,-2.369529024032958911e-05,-2.743557607080186086e-05,-1.629933988708323487e-05,0.000000000000000000e+00
-1.564594021972991273e-05,-1.103197392538338296e-05,-2.040804531013962441e-05,-1.205564428473334795e-05,1.044060086976425000e-05,-3.049154457923250909e-06,-4.066761539635316320e-06,-1.428940391393911479e-05,-3.069563531853207992e-05,-2.709747133592736476e-05,-2.645474935225451438e-05,-2.857495862211032270e-05,-1.782703574578468976e-05,0.000000000000000000e+00
-1.368967657434957846e-05,-1.042471550926985511e-05,-2.356517660791943275e-05,-1.394686498512245362e-05,8.470885218585489531e-06,-3.583040161745636046e-06,-1.109081171129931306e-05,-2.020990989700160179e-05,-2.661413340352483941e-05,-2.820659519340809973e-05,-2.636136893110550789e-05,-2.962580316624703971e-05,-1.779385382009612785e-05,0.000000000000000000e+00
-1.307519376058594267e-05,-1.200038602883955200e-05,-2.048496192721446622e-05,-1.728087261158159894e-05,2.805186266880294444e-06,-4.267619411001758251e-06,-1.294438050659953279e-05,-2.869326915388723526e-05,-2.252774346227206847e-05,-2.602103999389638881e-05,-2.292524010070953546e-05,-2.524534897535667523e-05,-1.583479292744334791e-05,0.000000000000000000e+00
