AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
-3.943216296635378e-06,3.0413126573586673e-06,4.60628080415045e-06,-1.8870783108262783e-06,-4.850477102311735e-06,-6.324984802014133e-07,-2.2672603250171662e-06,1.414090916304265e-06,-1.2829975463492768e-06,-1.943923739986268e-06,-3.234444623483633e-06,-1.826595807278553e-05,-4.537051197070265e-06,0.0
-5.255858915083535e-06,2.0890426077668464e-06,-3.653311284046725e-07,-4.6791835797665376e-06,-1.5148531096360717e-05,-6.418274094758521e-06,1.7756427557793522e-07,6.906354023041122e-06,2.2396195239185195e-06,-1.3335078553444735e-06,-3.2603986083772017e-06,-1.1020195504692147e-05,-2.4818867536430886e-06,0.0
2.210899656672016e-06,6.592070524147406e-06,8.433100129701652e-07,4.429800457770634e-07,-2.089577396200503e-05,-1.4098314676127255e-05,5.710185506981002e-06,1.289948884412909e-05,-1.9992202151522063e-06,4.580743826962689e-06,6.370151911192493e-06,-1.4375083955138458e-06,4.636372262149999e-06,0.0
1.0144146692607012e-05,1.034126690928512e-05,1.0744253307392993e-05,4.891134644083312e-06,-1.0588614703593492e-05,-8.949278970016016e-06,1.1780147649347676e-05,1.953682659342336e-05,-8.792305836575852e-07,1.496188330510414e-05,1.1101887782101167e-05,-5.866644852368962e-06,9.868949192034792e-06,0.0
9.461337079423218e-06,8.621075019455257e-06,1.4459111725032419e-05,2.8126859922178965e-06,-2.5541294300755245e-06,-3.9607796749827753e-07,1.1134113847562371e-05,1.8242120463874264e-05,2.947281762417031e-06,1.3670514589150831e-05,9.895027484550242e-06,-4.0531784435797655e-06,1.3851021159685667e-05,0.0
7.558593911650272e-06,7.81792740672923e-06,7.560088949416337e-06,2.6586703547722568e-06,-2.4812873151750894e-06,1.3110811947814203e-06,1.160562666971847e-05,1.2701030240329595e-05,-4.3836842298008443e-07,3.5891571343556857e-06,9.531671696040286e-06,1.8296482444495328e-06,1.295780332951858e-05,0.0
1.11212707942321e-05,9.655538538185703e-06,2.9296374837872854e-06,6.23152816205081e-06,5.074261052872518e-06,4.636923131151298e-06,1.5036341716639963e-05,1.02896006973373e-05,-2.486122178988301e-07,2.42721606775004e-07,7.849529050125888e-06,-4.0321104692149216e-06,1.082934921797513e-05,0.0
5.449830601968422e-06,5.246446015106436e-06,3.3509852399481154e-06,2.9529774639505586e-06,6.5984823071641185e-06,3.312678173495085e-06,7.83199320668345e-06,1.7369799145494775e-06,4.590500205996816e-07,-3.718199244678416e-06,-1.839417935454336e-06,-1.6185090450904096e-05,7.273273446250097e-06,0.0
-7.214521835660328e-06,9.759081971465666e-07,1.1407319584954567e-06,-1.61869462577249e-06,-6.2654351842526825e-06,-5.66404914625772e-06,-7.718744609750518e-06,-1.4060954975204088e-05,-1.46914848798352e-05,-1.420785710231174e-05,-1.1090391425955593e-05,-1.884937890135042e-05,-1.907784353398944e-06,0.0
-1.2428808651865335e-06,6.765851001754791e-06,3.74317398184176e-06,6.329122229343097e-06,-2.7580873517967423e-06,-3.450689008926522e-06,-1.2352735884641795e-05,-1.540606328984512e-05,-1.9687922700846877e-05,-1.3102326111238268e-05,-3.4826296040283804e-06,-1.0123996287479973e-05,-3.541533205157547e-06,0.0
6.688894598306258e-06,8.70444268101015e-06,8.612729364461732e-06,1.153058103456168e-05,1.006576697642482e-05,5.6087129686427165e-06,-7.919290647745478e-06,-5.072040277714197e-06,-3.475894442664223e-06,-2.497367475394828e-06,3.2751392126344714e-06,-7.532635440604256e-06,2.243769971770812e-06,0.0
-2.760072053101388e-06,1.6123204867628025e-06,2.5301589883268444e-06,4.075309237811854e-06,2.1933409475853362e-07,2.0711078736553045e-06,-7.94684659189746e-06,-4.903507971313038e-06,-8.613579363698784e-06,-2.506862833600367e-06,-4.601895202563513e-06,-1.635525485923552e-05,-2.5368540047302934e-06,0.0
-5.110173243305096e-06,1.5524366735332302e-06,-7.968845395590174e-07,5.7178498512243444e-08,-1.5175846889448378e-05,-4.658899359121075e-06,-1.1715887397573815e-05,-7.349589016556038e-06,-2.302078356603341e-05,-5.6783124742504e-06,-3.414500393682764e-06,-1.779435956969558e-05,-8.019837300679024e-06,0.0
7.0582592813000765e-06,6.2198515281910465e-06,4.881833488975352e-06,2.8691075623712493e-06,-1.0096930428015555e-05,-2.6587528130006807e-06,-7.651385635156786e-06,4.033429472800794e-06,-4.710023144884411e-06,3.5036989105058346e-06,1.0204853179217212e-05,-2.0306529045548165e-06,4.17067749599451e-06,0.0
8.700534126802481e-06,2.09373937743191e-06,6.240643553826196e-06,3.9624660975051475e-06,-1.9713925108720454e-06,4.62578127718019e-07,6.5582962325474936e-06,1.911785842984665e-05,1.2289564701304649e-05,1.623968722362096e-05,1.3973047360952164e-05,7.796746829938203e-06,1.2440195048447396e-05,0.0
-4.127162851911185e-06,-4.55336389105058e-06,5.385983138780769e-07,6.412179949645208e-07,-7.0976563469901515e-06,-2.2482803891050525e-06,9.027615005722132e-06,1.6534746443884948e-05,2.321986175326183e-07,1.262602518654154e-05,4.530663231860839e-06,-6.1405285191119216e-06,6.481928221561026e-07,0.0
-1.2348838086518647e-05,-7.109580781261918e-06,-2.612033177691313e-06,-2.4055467933165505e-06,-1.1331604275577928e-05,-7.27693018997482e-06,-2.339211956969558e-06,3.0490117952239268e-06,-6.768806633096816e-06,-2.8934595605401704e-06,-4.027663286793315e-06,-2.0437580045777063e-05,-9.649005548180356e-06,0.0
-4.059470519569688e-06,-4.063725653467608e-06,4.918282256809334e-06,4.563279574273287e-06,-4.641056021972984e-06,-4.3818667338063566e-06,5.87841666285191e-07,2.8946551033798734e-06,1.1153496772716895e-06,-2.826992053101397e-06,2.9620692698558038e-06,-8.22301675440604e-06,-1.87724699168383e-06,0.0
6.089964614328231e-06,3.6859442938887656e-06,1.0045894915693899e-05,1.1208825593957424e-05,1.8965237903410469e-06,1.3647472007324389e-06,1.0803442517738612e-05,1.0042314976729992e-05,3.3424882948043047e-06,7.172976617074842e-06,1.1786424133669031e-05,6.195580778210119e-06,6.221261335164418e-06,0.0
-1.9521787823300447e-06,1.5618302128633594e-06,1.6393511024643284e-06,1.3381006317235044e-06,-2.7198452414740135e-06,-1.3577147768367988e-06,4.990669187457084e-06,2.6158680170901045e-06,-3.580046344701302e-06,2.236746829938199e-06,-6.293133897917131e-07,-8.263532089723048e-06,-3.3980076050965104e-06,0.0
-1.2360610666056298e-05,-7.05439373769741e-06,-4.497163450064853e-06,-7.488062829022659e-06,-9.47777245136186e-06,-4.399271924925607e-06,-4.286498677042802e-06,-1.1206931244373235e-05,-1.3264746495765619e-05,-1.2993807731746391e-05,-1.4430344856946667e-05,-2.4053168569466692e-05,-1.1192669182879374e-05,0.0
-9.0775325474937e-06,-4.077815962462801e-06,-2.117787885862519e-06,-8.51666253147175e-07,-6.9519721171892814e-06,-3.932232629892418e-06,-6.982388546578164e-06,-1.300250908827344e-05,-1.4379029173723962e-05,-1.6816367649347675e-05,-8.327914158846417e-06,-1.3451115623712516e-05,-4.427116694895854e-06,0.0
-6.120819409475042e-08,4.723930389868014e-06,1.4381539040207486e-06,6.094286504921032e-06,2.226134360265514e-06,-1.9784999267566894e-06,-6.588950899519341e-06,-5.331926544594491e-06,-2.729710267795832e-06,-3.2157396658274355e-07,4.970258850995653e-06,9.260160741588464e-06,6.2502718287937774e-06,0.0
7.374647356374464e-06,5.1830396246280655e-06,4.897870946822305e-06,5.671887182421605e-06,6.247019102769521e-06,5.293969095902959e-06,-1.5094718608377203e-06,1.6535012954909594e-06,8.134902526894029e-06,1.276438612039368e-05,1.2667237495994509e-05,1.982007773861296e-05,1.300055563591974e-05,0.0
5.582272121767003e-06,-9.427222110322689e-07,1.7341178988326812e-06,1.2527058228427536e-06,-2.4758241565575574e-06,2.4960846234836405e-06,-4.280375133897917e-06,-4.980419806210418e-07,5.272865328450448e-06,3.7017449530785055e-06,1.0050751393911652e-05,1.1285927507438772e-05,1.08751552605478e-05,0.0
2.2682909819180674e-06,-4.1668400854504826e-07,1.6437249546044062e-06,3.530105149919871e-07,-1.081260420691233e-05,-1.1152486079194318e-05,-1.1965421780727857e-05,-4.2230784725719074e-06,2.393707269398033e-06,-2.8297050125886927e-06,6.949250199130236e-06,9.004103822384987e-06,9.40478129396506e-06,0.0
7.146553627832465e-06,4.157969645227744e-06,1.2816001271076518e-05,4.656298919661247e-06,-9.752751435111003e-06,-1.349203385214007e-05,-9.62469741359579e-06,-1.7880229053177687e-06,1.1282287402151524e-05,5.199298590066375e-06,1.05422549828336e-05,1.739726068665599e-05,1.2409657686732284e-05,0.0
8.41063435568781e-06,3.703557180132757e-06,1.4252082723735404e-05,4.223225246051726e-06,-8.895035532158381e-06,-8.1660453696498e-06,-6.0562026459143965e-06,-8.965342565041578e-07,1.554395495536736e-05,4.624151178759439e-06,8.399429105058366e-06,1.1020146907759213e-05,1.0937756852063786e-05,0.0
4.652238338292524e-06,2.111352263675902e-06,3.939997328145262e-06,9.202760311284024e-07,-1.035187783016708e-05,-1.0453377569237809e-05,-6.20010590981918e-06,-2.002232191958495e-06,1.1747404115358208e-05,-3.0263945754177167e-06,5.413098718242161e-06,4.4888561684596163e-07,8.832205761806673e-06,0.0
2.2123712291142223e-06,-4.202065857938466e-07,-1.8713942153048017e-06,-3.2061231265735886e-06,-1.1590193783474472e-05,-2.059625269398031e-05,-9.917096598764019e-06,-6.313194085603112e-06,5.566773435568782e-06,-5.838377084000916e-06,4.731806614785993e-06,2.2037912565804695e-07,6.825901097123678e-06,0.0
3.714846692607012e-06,1.6463720668345196e-06,3.7869125032425376e-06,-1.2801652048523708e-06,-6.3746983566033345e-06,-1.612166814373998e-05,-7.896327360952164e-06,-6.310043949034865e-06,5.046013925383384e-06,-1.574961249713894e-06,5.369301368734265e-06,3.9753404028381794e-06,9.349814042877855e-06,0.0
9.85424692149234e-06,1.08062471061265e-05,1.584416490272373e-05,1.1434511874570836e-05,7.275913975738162e-06,3.8783468848706855e-06,7.758510688944838e-06,6.74097185320821e-06,1.5085971934081024e-05,1.1455383167772945e-05,1.70145299656672e-05,1.4556325374227513e-05,2.0158513221942476e-05,0.0
1.300488352025636e-05,1.3997702093537808e-05,1.7446452736705573e-05,1.5428244097047376e-05,1.3962820123598086e-05,9.442206312657363e-06,1.8058310258640416e-05,1.701671733882658e-05,1.98384374914168e-05,1.6713098654154264e-05,2.268547566491188e-05,1.928851653925384e-05,2.2152602941939425e-05,0.0
5.719128358892204e-06,4.600640186160071e-06,4.8701698832684795e-06,5.615465612268251e-06,1.0273367003891056e-05,5.837881318379498e-06,1.3165599285877772e-05,1.4194194973678185e-05,1.2348060975051501e-05,8.301567763790337e-06,9.34026105745022e-06,5.816357239642941e-06,1.1449257660791945e-05,0.0
-7.474990157930871e-06,-9.03525634393835e-06,-6.337097250324257e-06,-3.270169233234152e-06,6.077661185626009e-06,9.833823112840472e-06,5.505046811627374e-06,7.473378605325398e-06,2.773219679560542e-06,-1.975122774090183e-06,-7.181072451361866e-06,-3.8538429938200954e-06,-1.4588851361867672e-06,0.0
-1.0138536278324552e-05,-1.0271680958266571e-05,-4.520490661478602e-06,-6.747770061799061e-07,7.153903433279935e-06,1.1944202536049445e-05,7.349764184023803e-06,8.883064719615471e-06,-5.753353078507643e-07,-5.052975312428473e-06,-8.566366395056075e-06,1.195988400091556e-06,-6.964771453421833e-06,0.0
-4.409704760814824e-06,-3.1922603799496053e-07,1.63643520103761e-06,6.730172849622336e-06,6.383598068207836e-06,5.589857344930196e-06,8.819414538796064e-06,1.123936687266346e-05,-1.5112756878004095e-06,-1.1802256443122009e-06,1.4307841611352724e-06,1.7307908262760376e-06,5.642150774395393e-07,0.0
-7.020274273289075e-06,-2.0570308140688144e-06,-7.374098573281795e-08,4.790490762188141e-06,-5.711835111009378e-06,-2.9589923598077305e-06,-4.598799377431906e-06,5.068515846494245e-07,-3.727000398260469e-06,-4.979163332570398e-07,2.6700869398031594e-06,-4.495605905241472e-06,5.859393598840318e-06,0.0
-8.028301396200496e-06,-1.1634918353551532e-05,-1.6629072632944259e-06,8.836782558937953e-07,-1.0705162087434188e-05,-5.806191540398256e-06,-1.29696828564889e-05,-8.034743720149538e-06,-2.228925094987409e-06,-1.8788127122911433e-06,-1.4592042114900317e-07,-1.3824075394827175e-06,2.602583971923403e-06,0.0
5.31003121995881e-06,-6.6340328526741405e-06,6.9098429312581006e-06,8.669854937056531e-06,3.93063984893569e-06,3.1125184756237183e-06,-1.7192032135500116e-06,5.3958635385671775e-06,6.412829297322044e-06,7.567712222476536e-06,1.075637535820554e-05,9.269884422064548e-06,1.0959133005264364e-05,0.0
1.3497860288395524e-05,6.271730495155298e-07,1.5568612217898827e-05,1.815935307392996e-05,1.27427146990158e-05,1.1546784005493251e-05,1.6686470313572895e-06,1.632526236209659e-05,1.607042141908904e-05,2.2110531554131372e-05,2.807579390249485e-05,1.807629770656901e-05,2.723707366750592e-05,0.0
9.914581391622806e-06,5.661150438696919e-07,1.5914146536964976e-05,1.4545322769512471e-05,6.339892799267575e-06,4.003084087891972e-06,-9.65684601510643e-06,3.5577588509956517e-06,1.600907166857405e-05,2.3252687498283357e-05,2.956490378576333e-05,2.0980436942092008e-05,2.9350259098191807e-05,0.0
1.045612005035478e-05,4.6910530022125615e-06,1.38584360311284e-05,8.805571686884865e-06,-1.7037121995879303e-07,-3.881467489127941e-06,-1.1339289494163424e-05,-3.86553797207599e-06,7.213229530785077e-06,1.4876425081254289e-05,1.888321687800412e-05,1.3932389210345618e-05,2.2158710414282448e-05,0.0
1.0394314007782108e-05,4.177930916304269e-06,1.056346741893644e-05,6.077512524605169e-06,-6.653319446097498e-06,-6.403769768825812e-06,-7.873364074158846e-06,-3.468354253452351e-07,4.619034973678211e-07,7.653170446326388e-06,1.0996449718471048e-05,-5.850657404440361e-07,1.391820335545892e-05,0.0
7.421737674525072e-06,-2.004192155336839e-06,9.579350687418931e-06,4.460298603799475e-07,-4.88325605401693e-06,-7.530755893797203e-06,-3.337349489585717e-06,-1.0083641046768898e-06,4.030176195925844e-06,7.630110290684364e-06,8.598950363927674e-06,-1.0291138155184232e-06,9.363555855649656e-06,0.0
6.780132089723057e-06,-2.4691723521782217e-06,1.0354980466926064e-05,-1.3259124238956303e-06,6.4965033463035085e-06,2.6875417257953823e-06,8.27441919890135e-06,2.95608276646067e-06,1.0022477409018083e-05,1.05411158205539e-05,1.0946163872739756e-05,1.5822024449530788e-05,1.133779629053178e-05,0.0
5.382138269626926e-06,-1.5145539177538677e-06,7.3151532295719805e-06,1.7787988418402357e-06,9.867272213321134e-06,9.796111865415432e-06,1.2831866184481572e-05,1.0510110257114519e-05,7.500003945983066e-06,6.9844259327077105e-06,9.015836246280616e-06,9.587524650949875e-06,8.311543744563976e-06,0.0
5.769161821927223e-06,1.128553211261162e-06,1.0694682983138775e-05,7.198319391165023e-06,9.421114259555971e-06,4.631121400778216e-06,1.0116074799725336e-05,1.4515508903639275e-05,2.661934085603115e-06,7.853929448386356e-06,4.7999358251316105e-06,-1.437810649576562e-05,4.195107385366601e-06,0.0
3.286619111924934e-06,2.0467716807812657e-06,1.2706654967574573e-05,5.638339221789881e-06,3.568250327306027e-06,9.600765072098934e-07,5.892360915541314e-06,9.676899134813458e-06,-1.8579731151293176e-06,1.0379694731059736e-05,6.829849713893353e-07,-1.7217421194781416e-05,4.1431938704509065e-06,0.0
-5.950441107804982e-06,-5.513853287556264e-06,-7.210711024643354e-07,-6.794230006866561e-06,-1.3250994003204388e-05,-4.1628514122224714e-06,-5.932200897230488e-06,-1.0508909483482103e-06,-3.132050492103453e-06,6.198229755092682e-07,-8.001867223620964e-06,-1.5382886811627373e-05,-1.388649204242005e-06,0.0
-1.1146563401235975e-05,-1.0278726112764168e-05,-8.56047208819715e-06,-1.0993824715037769e-05,-1.963924747997253e-05,-1.2483983199816886e-05,-1.745670909590295e-05,-7.020399745174334e-06,-4.6119623712519786e-07,-8.804998283360035e-06,-1.1719775559624627e-05,-1.937445764705882e-05,-8.218330151827265e-06,0.0
-7.925291325246044e-06,-7.050871160448612e-06,-2.9415300389105088e-06,-6.4678998443579775e-06,-1.6967762915999074e-05,-1.7590956360723273e-05,-2.403339443350881e-05,-1.564389860074769e-05,-1.353154657358663e-05,-7.137884678416114e-06,-8.567988519111923e-06,-9.801494218356601e-06,-5.996737087052717e-06,0.0
